product_name,category,sub-category,sales,quantity,profit,order_id,avg_sales_per_order,profit_margin
Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset,Technology,Accessories,2619.738,29,995.9004,6,436.623,0.3801526717557252
Easy-staple paper,Office Supplies,Paper,2504.192,150,1096.0292,46,54.43895652173913,0.4376777818953179
Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,Office Supplies,Appliances,2491.28,21,563.816,5,498.25600000000003,0.2263157894736842
Enermax Acrylux Wireless Keyboard,Technology,Accessories,2450.16,29,630.468,6,408.35999999999996,0.2573170731707317
Logitech Gaming G510s - Keyboard,Technology,Accessories,2362.7219999999998,31,676.5204,8,295.34024999999997,0.2863309352517986
Logitech G700s Rechargeable Gaming Mouse,Technology,Accessories,2339.766,25,889.9110000000001,9,259.974,0.3803418803418804
GBC DocuBind P50 Personal Binding Machine,Office Supplies,Binders,2264.892,50,569.422,10,226.48919999999998,0.2514124293785311
Plantronics S12 Corded Telephone Headset System,Technology,Accessories,2242.032,23,754.5300000000001,6,373.672,0.33653846153846156
Logitech G602 Wireless Gaming Mouse,Technology,Accessories,1999.75,29,515.1356000000001,9,222.19444444444446,0.25760000000000005
NETGEAR N750 Dual Band Wi-Fi Gigabit Router,Technology,Accessories,1890.0,22,622.8,7,270.0,0.3295238095238095
Logitech Wireless Performance Mouse MX for PC and Mac,Technology,Accessories,1799.82,21,497.9502,7,257.1171428571428,0.27666666666666667
Honeywell Quietcare HEPA Air Cleaner,Office Supplies,Appliances,1761.76,23,549.7635,6,293.62666666666667,0.31205357142857143
Xerox 1908,Office Supplies,Paper,1712.988,32,799.3944,7,244.71257142857144,0.4666666666666667
Xerox 1945,Office Supplies,Paper,1696.986,45,756.2655,8,212.12325,0.44565217391304346
Staple envelope,Office Supplies,Envelopes,1686.8120000000001,170,751.629,48,35.14191666666667,0.4455914470610833
Enermax Aurora Lite Keyboard,Technology,Accessories,1641.1499999999999,21,722.106,5,328.22999999999996,0.44000000000000006
"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Furniture,Furnishings,1636.864,29,375.9672,7,233.8377142857143,0.2296875
Plantronics Audio 478 Stereo USB Headset,Technology,Accessories,1619.676,34,514.897,9,179.964,0.31790123456790126
"Hunt PowerHouse Electric Pencil Sharpener, Blue",Office Supplies,Art,1617.9479999999999,44,448.164,10,161.79479999999998,0.27699530516431925
Logitech G600 MMO Gaming Mouse,Technology,Accessories,1615.798,21,540.7324,8,201.97475,0.3346534653465346
Microsoft Sculpt Comfort Mouse,Technology,Accessories,1574.03,42,634.406,10,157.403,0.40304568527918777
GBC ProClick Punch Binding System,Office Supplies,Binders,1573.908,31,562.3842,7,224.844,0.3573170731707317
Xerox 1919,Office Supplies,Paper,1565.818,40,729.622,9,173.97977777777777,0.46596858638743455
