city,state,region,sales,order_id,profit,avg_sales_per_order,profit_margin
Lakewood,New Jersey,East,14852.04,11,3526.6735000000003,1350.1854545454546,0.2374538110589522
Columbus,Georgia,South,14845.05,40,4104.1219,371.12624999999997,0.27646399978444
Arlington,Virginia,South,14366.76,21,4424.0855,684.1314285714286,0.3079389855471937
Charlotte,North Carolina,South,13693.339,24,-429.7824,570.5557916666667,-0.03138623822867454
Burlington,North Carolina,South,12681.282,7,-5894.5269,1811.6117142857142,-0.464821056735431
Denver,Colorado,West,12198.793,17,-244.92000000000002,717.5760588235294,-0.020077396181736998
Milwaukee,Wisconsin,Central,11410.22,23,2793.0851000000002,496.0965217391304,0.24478801460445113
Phoenix,Arizona,West,11000.257,29,-2790.8831999999998,379.3192068965517,-0.25371072694028873
Columbia,Maryland,East,10962.35,9,3775.2237,1218.038888888889,0.34438087636318854
North Las Vegas,Nevada,West,9801.002,7,2247.6899000000003,1400.143142857143,0.22933266415005324
Indianapolis,Indiana,Central,9306.42,12,2741.6538,775.535,0.29459811613918135
Buffalo,New York,East,9063.496,7,992.8791000000001,1294.7851428571428,0.10954703350671752
Burlington,Vermont,East,8929.369999999999,6,2244.9782999999998,1488.2283333333332,0.25141508303497334
Miami,Florida,South,8673.0745,34,-1150.3704,255.09042647058826,-0.13263697896288104
Long Beach,New York,East,8521.2,22,1362.535,387.32727272727277,0.15989942731070741
Lancaster,Ohio,East,8202.625,15,-7149.6179999999995,546.8416666666667,-0.8716256076560857
Newark,Ohio,East,8128.0689999999995,16,-2292.4127,508.00431249999997,-0.28203656981750524
Anaheim,California,West,7986.87,9,1234.0036,887.43,0.15450402973880883
Columbus,Indiana,Central,7960.4,16,2522.4846000000002,497.525,0.3168791266770514
Fresno,California,West,7888.5285,11,948.2681,717.1389545454546,0.12020849008785352
Yonkers,New York,East,7657.666,6,2767.7557,1276.2776666666666,0.3614359388356714
Aurora,Illinois,Central,7572.968,20,-1894.7196000000001,378.6484,-0.25019511504604275
Jackson,Mississippi,South,7426.61,18,2100.4405,412.58944444444444,0.2828262827858202
Sacramento,California,West,7311.278,8,2069.6859,913.90975,0.2830812752572122
Louisville,Kentucky,South,7275.39,17,1975.8966,427.96411764705886,0.2715863479483574
Tallahassee,Florida,South,7250.669,9,392.71160000000003,805.6298888888889,0.05416211938512157
Richmond,Kentucky,South,6761.52,14,2275.6436,482.96571428571434,0.33655799287734117
Huntsville,Texas,Central,6710.6168,10,-843.4264000000001,671.06168,-0.12568537664078808
Roswell,Georgia,South,6652.32,9,2427.4353,739.1466666666666,0.36490056100728774
Fort Worth,Texas,Central,6602.7064,12,298.73269999999997,550.2255333333334,0.04524397753018368
Oklahoma City,Oklahoma,Central,6596.820000000001,11,1580.7607,599.7109090909091,0.23962465248407563
Wilmington,Delaware,East,6553.899,9,1775.0723,728.211,0.2708421811199715
Cleveland,Ohio,East,6346.185,21,-848.0079000000001,302.19928571428574,-0.13362483129628272
Tucson,Arizona,West,6313.016,13,-64.96680000000002,485.61661538461533,-0.01029092908999439
Omaha,Nebraska,Central,6312.53,14,1841.6268,450.895,0.2917414729118119
Richmond,Indiana,Central,6235.15,14,1881.8619999999999,445.36785714285713,0.301815032517261
Columbia,South Carolina,South,6168.16,11,1388.3777,560.7418181818182,0.22508782197608362
Baltimore,Maryland,East,6156.842000000001,21,1676.198,293.18295238095243,0.2722496370704332
Lawrence,Massachusetts,East,6109.062,15,1849.4035,407.2708,0.3027311721504872
San Jose,California,West,6071.229,20,1216.0579,303.56145000000004,0.20029847334040604
Nashville,Tennessee,South,6070.863,16,-837.4908,379.4289375,-0.1379525118586929
Austin,Texas,Central,6057.982,18,-20.393799999999967,336.55455555555557,-0.003366434565173678
Rochester,New York,East,6017.13,20,1223.2151000000001,300.8565,0.2032887938269574
Chesapeake,Virginia,South,5996.72,10,1262.787,599.672,0.21057961685721527
Oakland,California,West,5964.418,13,834.1029000000001,458.80138461538456,0.13984648627913068
Memphis,Tennessee,South,5942.341,14,-1479.04,424.4529285714286,-0.248898540154461
Arlington,Texas,Central,5847.772,10,-254.38859999999997,584.7772,-0.04350179863373606
Springfield,Oregon,West,5761.265,15,-853.3086000000001,384.08433333333335,-0.14811132624519094
Virginia Beach,Virginia,South,5752.13,11,2024.8837,522.920909090909,0.35202328528736315
Everett,Massachusetts,East,5661.878,8,1360.0809,707.73475,0.2402172741977132
Springfield,Ohio,East,5613.167,19,-1420.1619999999998,295.42984210526316,-0.25300547801267975
Lakeland,Florida,South,5606.8865000000005,6,-188.63649999999998,934.4810833333335,-0.03364371652609696
Jacksonville,North Carolina,South,5579.8550000000005,23,121.82580000000003,242.60239130434783,0.021833147993989093
Tulsa,Oklahoma,Central,5556.97,13,1506.935,427.45923076923077,0.271179257760974
Franklin,Massachusetts,East,5534.559,9,464.6287000000001,614.951,0.08395044663901859
Alexandria,Virginia,South,5519.57,6,318.61830000000003,919.9283333333333,0.05772520323141115
Clinton,Maryland,East,5514.251,10,1274.2421,551.4251,0.23108162831180515
Mobile,Alabama,South,5462.99,4,2175.8292,1365.7475,0.39828540780781224
Lafayette,Louisiana,South,5405.75,10,1042.2903,540.575,0.192811413772372
Madison,Wisconsin,Central,5346.79,4,1123.6552,1336.6975,0.21015510240723873
Midland,Michigan,Central,5291.512,5,2293.6828,1058.3024,0.4334645371682045
Tampa,Florida,South,5196.0805,14,-325.2366,371.14860714285714,-0.0625926792319711
Columbia,Tennessee,South,5162.774,10,-664.2565999999999,516.2774000000001,-0.12866273053982216
Richmond,Virginia,South,5141.26,13,1409.743,395.4815384615385,0.27420184935210434
Concord,North Carolina,South,5111.844,5,-1788.6868,1022.3688,-0.34991028677713953
Brentwood,California,West,5090.114,6,1216.8104,848.3523333333333,0.23905366363110928
Louisville,Colorado,West,5070.416,12,-3406.2095000000004,422.5346666666667,-0.671781072795605
Morristown,New Jersey,East,5033.099999999999,5,1838.2271,1006.6199999999999,0.365227613200612
Fairfield,Connecticut,East,4935.577,12,1221.6226,411.29808333333335,0.24751363417083755
Long Beach,California,West,4933.83,11,746.3956,448.53,0.15128117507088812
Fort Lauderdale,Florida,South,4929.532499999999,12,-161.3551,410.79437499999995,-0.03273233313706726
Round Rock,Texas,Central,4854.0527999999995,3,-1183.4313,1618.0176,-0.24380272501362163
Lowell,Massachusetts,East,4837.93,7,1312.5717,691.1328571428572,0.2713085348485819
Franklin,Wisconsin,Central,4774.25,5,1292.7752,954.85,0.2707807927946798
Jamestown,New York,East,4708.79,2,1285.7714999999998,2354.395,0.27305772820618457
Great Falls,Montana,West,4605.58,3,1582.7071,1535.1933333333334,0.343649898601262
Florence,Kentucky,South,4559.8,4,1837.3541,1139.95,0.4029462037808676
Plainfield,New Jersey,East,4526.85,7,1235.6657,646.6928571428572,0.272963694401184
